TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,2,0.75,3,6,1,1,0,4.07327,3,4.77386,0.700594,5,6.58224,7.59114,3.51788,7.59137,8.34281
2,2,1,0.75,3,6,1,1,1,8.40284,0,999,999,999,10.9118,11.935,3.5322,11.9352,12.6958
3,3,3,0.75,3,6,1,1,2,12.7517,2,13.4298,0.678135,2,15.2512,16.2681,3.51647,16.2683,17.0318
4,4,3,0.75,3,6,1,1,3,17.0869,2,17.85,0.763139,1,19.5931,20.6071,3.52024,20.6073,21.3686
5,5,3,0.75,3,6,1,1,4,21.4248,2,21.8196,0.3948,1,23.9127,24.9269,3.5021,24.9271,25.6885
6,6,3,0.75,3,6,1,1,5,25.7542,3,26.3391,0.584986,6,28.2522,29.2701,3.51598,29.2703,30.0249
7,7,3,0.75,3,6,1,1,6,30.0806,2,30.6425,0.561871,3,32.5835,33.5927,3.51208,33.5929,34.3444
8,8,3,12,3,6,1,1,7,34.4004,3,34.9283,0.527897,8,36.8978,37.9027,3.50224,37.9028,49.9054
9,9,2,0.75,2,4,2,1,8,49.9797,3,51.1919,1.21223,5,52.4773,53.4816,3.50191,53.4818,54.2422
10,10,3,0.75,2,4,2,1,9,54.2985,3,54.7928,0.494342,6,56.8032,57.8241,3.52559,57.8242,58.5786
11,11,1,0.75,2,4,2,1,10,58.6341,2,59.0292,0.39511,7,61.1292,62.1481,3.51404,62.1483,62.8983
12,12,3,0.75,2,4,2,1,11,62.9542,2,63.7327,0.778556,4,65.4642,66.4709,3.51675,66.4711,67.2341
13,13,3,0.75,2,4,2,1,12,67.2893,2,67.8522,0.562868,2,69.7773,70.7975,3.50819,70.7977,71.5546
14,14,3,0.75,2,4,2,1,13,71.6103,3,72.0552,0.444904,7,74.112,75.1296,3.51928,75.1297,75.8907
15,15,3,0.75,2,4,2,1,14,75.9475,3,76.4917,0.544183,7,78.4489,79.4595,3.51202,79.4597,80.2108
16,16,3,10,2,4,2,1,15,80.2659,2,81.3615,1.09558,1,82.7584,83.7743,3.50841,83.7745,93.7868
17,17,1,0.75,3,5,3,1,16,93.8609,3,94.6878,0.826921,4,96.3619,97.3658,3.5049,97.366,98.1227
18,18,1,0.75,3,5,3,1,17,98.1768,3,98.6072,0.430483,4,100.677,101.693,3.51609,101.693,102.46
19,19,1,0.75,3,5,3,1,18,102.516,3,103.311,0.794527,2,105.008,106.015,3.49863,106.015,106.779
20,20,2,0.75,3,5,3,1,19,106.833,3,107.38,0.546817,5,109.337,110.35,3.51648,110.35,111.116
21,21,1,0.75,3,5,3,1,20,111.171,3,111.85,0.678924,4,113.678,114.687,3.51615,114.688,115.452
22,22,2,0.75,3,5,3,1,21,115.508,2,115.953,0.444872,5,118.002,119.019,3.51107,119.02,119.772
23,23,1,0.75,3,5,3,1,22,119.827,2,120.44,0.61261,6,122.331,123.349,3.52249,123.35,124.108
24,24,1,10,3,5,3,1,23,124.164,3,125.376,1.21183,4,126.677,127.696,3.53161,127.696,137.702
25,25,1,0.75,2,3,4,1,24,137.775,3,139.02,1.24476,3,140.281,141.296,3.52125,141.296,142.054
26,26,1,0.75,2,3,4,1,25,142.109,3,143.022,0.912878,1,144.598,145.611,3.50169,145.611,146.374
27,27,1,0.75,2,3,4,1,26,146.43,2,146.925,0.494373,9,148.928,149.933,3.50305,149.934,150.693
28,28,2,0.75,2,3,4,1,27,150.749,2,151.311,0.562446,5,153.24,154.257,3.50803,154.257,155.014
29,29,1,0.75,2,3,4,1,28,155.069,2,155.731,0.662278,7,157.568,158.58,3.51144,158.581,159.333
30,30,1,0.75,2,3,4,1,29,159.389,3,159.784,0.394834,3,161.893,162.899,3.50932,162.899,163.653
31,31,3,0.75,2,3,4,1,30,163.709,3,164.22,0.510773,6,166.209,167.223,3.51443,167.223,167.99
32,32,1,8,2,3,4,1,31,168.058,2,168.557,0.498434,9,170.549,171.56,3.50153,171.56,179.565
33,33,3,0.75,3,6,5,1,32,179.637,3,180.732,1.09503,6,182.126,183.131,3.49395,183.131,183.884
34,34,3,0.75,3,6,5,1,33,183.94,3,184.668,0.728071,8,186.431,187.448,3.50747,187.448,188.203
35,35,1,0.75,3,6,5,1,34,188.258,2,189.555,1.29737,6,190.749,191.754,3.49614,191.754,192.507
36,36,3,0.75,3,6,5,1,35,192.562,2,193.208,0.646118,2,195.067,196.071,3.5097,196.072,196.827
37,37,3,0.75,3,6,5,1,36,196.883,3,197.544,0.66111,7,199.384,200.394,3.51098,200.394,201.146
38,38,3,0.75,3,6,5,1,37,201.202,3,202.114,0.912409,9,203.7,204.717,3.51582,204.717,205.483
39,39,2,0.75,3,6,5,1,38,205.538,2,206.366,0.827833,5,208.024,209.041,3.50269,209.041,209.803
40,40,3,10,3,6,5,1,39,209.858,3,210.354,0.496024,8,212.364,213.37,3.51222,213.37,223.379
41,41,3,0.75,2,4,6,1,40,223.45,2,224.38,0.929434,2,225.954,226.97,3.51998,226.971,227.732
42,42,2,0.75,2,4,6,1,41,227.787,0,999,999,999,230.301,231.319,3.53161,231.319,232.085
43,43,3,0.75,2,4,6,1,42,232.141,2,232.785,0.644021,1,234.649,235.661,3.51974,235.661,236.421
44,44,3,0.75,2,4,6,1,43,236.476,3,237.172,0.69523,8,238.985,239.993,3.51693,239.994,240.758
45,45,3,0.75,2,4,6,1,44,240.815,3,241.475,0.660477,7,243.313,244.319,3.50417,244.319,245.077
46,46,3,0.75,2,4,6,1,45,245.133,2,245.961,0.828784,1,247.627,248.642,3.50905,248.642,249.397
47,47,3,0.75,2,4,6,1,46,249.453,2,250.231,0.778496,1,251.949,252.955,3.50291,252.956,253.717
48,48,2,8,2,4,6,1,47,253.773,3,254.468,0.6946,5,256.274,257.284,3.51081,257.284,265.292
49,49,3,0.75,1,1,7,1,48,265.301,2,266.909,1.60809,2,267.816,268.837,3.53572,268.837,269.595
50,50,1,0.75,1,1,7,1,49,269.597,3,270.029,0.431913,3,272.09,273.096,3.49871,273.096,273.848
51,51,1,0.75,1,1,7,1,50,273.85,3,274.966,1.1158,2,276.35,277.369,3.51835,277.369,278.134
52,52,1,0.75,1,1,7,1,51,278.137,2,278.768,0.631346,7,280.631,281.643,3.50639,281.643,282.404
53,53,1,0.75,1,1,7,1,52,282.407,2,283.088,0.681754,7,284.899,285.903,3.49657,285.903,286.656
54,54,1,0.75,1,1,7,1,53,286.659,2,287.124,0.465416,6,289.159,290.163,3.504,290.163,290.927
55,55,1,0.75,1,1,7,1,54,290.929,2,291.328,0.398749,6,293.439,294.445,3.51642,294.445,295.197
56,56,3,8,1,1,7,1,55,295.199,3,295.596,0.39755,9,297.696,298.711,3.5127,298.712,306.721
57,57,1,0.75,3,5,8,1,56,306.793,2,307.655,0.861706,6,309.299,310.306,3.51316,310.307,311.057
58,58,1,0.75,3,5,8,1,57,311.113,3,311.642,0.528923,4,313.618,314.626,3.51282,314.626,315.378
59,59,1,0.75,3,5,8,1,58,315.433,3,315.678,0.245258,1,317.937,318.946,3.51288,318.946,319.697
60,60,1,0.75,3,5,8,1,59,319.751,2,320.164,0.41276,6,322.245,323.255,3.50376,323.255,324.017
